,formula,T_c,composition,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,minimum_Number,maximum_Number,range_Number,mean_Number,avg_dev_Number,mode_Number,minimum_MendeleevNumber,maximum_MendeleevNumber,range_MendeleevNumber,mean_MendeleevNumber,avg_dev_MendeleevNumber,mode_MendeleevNumber,minimum_AtomicWeight,maximum_AtomicWeight,range_AtomicWeight,mean_AtomicWeight,avg_dev_AtomicWeight,mode_AtomicWeight,minimum_MeltingT,maximum_MeltingT,range_MeltingT,mean_MeltingT,avg_dev_MeltingT,mode_MeltingT,minimum_Column,maximum_Column,range_Column,mean_Column,avg_dev_Column,mode_Column,minimum_Row,maximum_Row,range_Row,mean_Row,avg_dev_Row,mode_Row,minimum_CovalentRadius,maximum_CovalentRadius,range_CovalentRadius,mean_CovalentRadius,avg_dev_CovalentRadius,mode_CovalentRadius,minimum_Electronegativity,maximum_Electronegativity,range_Electronegativity,mean_Electronegativity,avg_dev_Electronegativity,mode_Electronegativity,minimum_NsValence,maximum_NsValence,range_NsValence,avg_dev_NsValence,mode_NsValence,minimum_NpValence,maximum_NpValence,range_NpValence,avg_dev_NpValence,mode_NpValence,minimum_NdValence,maximum_NdValence,range_NdValence,avg_dev_NdValence,mode_NdValence,minimum_NfValence,maximum_NfValence,range_NfValence,avg_dev_NfValence,mode_NfValence,minimum_NValence,maximum_NValence,range_NValence,mean_NValence,avg_dev_NValence,mode_NValence,minimum_NsUnfilled,maximum_NsUnfilled,range_NsUnfilled,mean_NsUnfilled,avg_dev_NsUnfilled,mode_NsUnfilled,minimum_NpUnfilled,maximum_NpUnfilled,range_NpUnfilled,mean_NpUnfilled,avg_dev_NpUnfilled,mode_NpUnfilled,minimum_NdUnfilled,maximum_NdUnfilled,range_NdUnfilled,mean_NdUnfilled,avg_dev_NdUnfilled,mode_NdUnfilled,minimum_NfUnfilled,maximum_NfUnfilled,range_NfUnfilled,mean_NfUnfilled,avg_dev_NfUnfilled,mode_NfUnfilled,minimum_NUnfilled,maximum_NUnfilled,range_NUnfilled,mean_NUnfilled,avg_dev_NUnfilled,mode_NUnfilled,minimum_GSvolume_pa,maximum_GSvolume_pa,range_GSvolume_pa,mean_GSvolume_pa,avg_dev_GSvolume_pa,mode_GSvolume_pa,range_GSbandgap,mean_GSbandgap,avg_dev_GSbandgap,mode_GSbandgap,minimum_GSmagmom,maximum_GSmagmom,range_GSmagmom,mean_GSmagmom,avg_dev_GSmagmom,mode_GSmagmom,minimum_SpaceGroupNumber,maximum_SpaceGroupNumber,range_SpaceGroupNumber,mean_SpaceGroupNumber,avg_dev_SpaceGroupNumber,mode_SpaceGroupNumber,avg_s_valence_electrons,avg_p_valence_electrons,avg_d_valence_electrons,avg_f_valence_electrons,compound_possible,max_ionic_char,avg_ionic_char,H,Li,Be,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Np,Pu,Am,Cm
0,(Ce0.7La0.3)3Al11,3.7,Ce2.1 La0.9 Al11,3,0.8024833903805951,0.7876751495348695,0.785754707657791,0.7857153258809592,0.7857142907681259,13.0,58.0,45.0,22.578571428571426,15.052040816326528,13.0,13.0,73.0,60.0,60.44285714285714,19.73265306122449,73.0,26.9815386,140.116,113.13446140000002,51.14681768571428,37.97400999183674,26.9815386,933.47,1193.0,259.53,970.7835714285713,58.63561224489789,933.47,3.0,13.0,10.0,10.857142857142858,3.3673469387755097,13.0,3.0,6.0,3.0,3.642857142857143,1.010204081632653,3.0,121.0,207.0,86.0,138.97857142857143,28.25204081632653,121.0,1.1,1.61,0.51,1.5037142857142858,0.1670204081632653,1.61,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.33673469387755095,1.0,0.0,1.0,1.0,0.33673469387755095,0.0,0.0,1.0,1.0,0.25499999999999995,0.0,3.0,4.0,1.0,3.1499999999999995,0.2549999999999996,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.9285714285714284,1.6836734693877549,5.0,0.0,9.0,9.0,1.9285714285714286,3.030612244897959,0.0,0.0,13.0,13.0,1.9499999999999997,3.315,0.0,5.0,22.0,17.0,7.807142857142856,4.411224489795917,5.0,16.48,37.24,20.76,20.906553571428567,6.956012755102037,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,218.35714285714286,10.43877551020408,225.0,2.0,0.7857142857142857,0.21428571428571425,0.14999999999999997,False,0.06295596301634987,0.010047123269570779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06428571428571428,0.14999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,(Ce0.9La0.1)3Al11,5.4,Ce2.7 La0.3 Al11,3,0.8093207028119322,0.7895736917165775,0.7858542453079035,0.7857203106755984,0.7857143480842197,13.0,58.0,45.0,22.621428571428574,15.119387755102043,13.0,13.0,73.0,60.0,60.528571428571425,19.597959183673474,73.0,26.9815386,140.116,113.13446140000002,51.19869754285715,38.05553548163266,26.9815386,933.47,1193.0,259.53,965.5550000000001,50.41928571428573,933.47,3.0,13.0,10.0,10.857142857142858,3.3673469387755097,13.0,3.0,6.0,3.0,3.642857142857143,1.010204081632653,3.0,121.0,207.0,86.0,138.85,28.049999999999994,121.0,1.1,1.61,0.51,1.5045714285714287,0.1656734693877551,1.61,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.336734693877551,1.0,0.0,1.0,1.0,0.336734693877551,0.0,0.0,1.0,1.0,0.3113265306122449,0.0,3.0,4.0,1.0,3.192857142857143,0.311326530612245,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.9285714285714284,1.6836734693877555,5.0,0.0,9.0,9.0,1.9285714285714286,3.0306122448979593,0.0,0.0,13.0,13.0,2.507142857142857,4.0472448979591835,0.0,5.0,22.0,17.0,8.364285714285716,5.286734693877553,5.0,16.48,37.24,20.76,20.921232142857143,6.979079081632653,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,218.35714285714286,10.43877551020408,225.0,2.0,0.7857142857142857,0.21428571428571427,0.19285714285714287,False,0.06295596301634987,0.0098884095810072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021428571428571432,0.19285714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,(Co0.38Fe0.62)2P,459.0,Co0.76 Fe1.24 P1,3,0.5883309726109389,0.49854391187916663,0.4438349763148563,0.4269327273212659,0.41818714419612163,15.0,27.0,12.0,22.58666666666667,5.057777777777777,26.0,55.0,83.0,28.0,65.09333333333333,11.937777777777777,55.0,30.973762,58.933195,27.959432999999997,48.33693006666667,11.575445377777775,55.845,317.3,1811.0,1493.7,1302.2066666666667,656.6044444444445,1811.0,8.0,15.0,7.0,10.586666666666666,2.942222222222222,8.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,4.0,107.0,132.0,25.0,122.14666666666666,10.097777777777779,132.0,1.83,2.19,0.3599999999999999,1.9626666666666666,0.1515555555555555,1.83,2.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,1.3333333333333333,0.0,0.0,7.0,7.0,2.835555555555556,6.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,7.253333333333333,1.5022222222222226,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,4.0,4.0,2.4133333333333336,1.6088888888888888,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.4133333333333336,0.4849777777777778,4.0,10.245,22.5702380952,12.325238095200001,14.553879365066669,5.344239153422222,10.73,1.625,0.5416666666666666,0.7222222222222223,0.0,0.0,2.1106628,2.1106628,1.2646866613333334,0.8431244408888888,2.1106628,2.0,229.0,227.0,144.46666666666667,94.97777777777777,229.0,2.0,1.0,4.253333333333333,0.0,False,0.031880743083437246,0.006462483019990098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41333333333333333,0.25333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,(Co0.4Fe0.6)2P,453.0,Co0.8 Fe1.2 P1,3,0.5849976258261415,0.493242414866094,0.43571290035642074,0.41697213349064854,0.4066359205074115,15.0,27.0,12.0,22.599999999999998,5.066666666666667,26.0,55.0,83.0,28.0,65.13333333333334,11.911111111111113,55.0,30.973762,58.933195,27.959432999999997,48.378106,11.602895999999996,55.845,317.3,1811.0,1493.7,1301.6333333333334,656.2222222222222,1811.0,8.0,15.0,7.0,10.6,2.9333333333333336,8.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,4.0,107.0,132.0,25.0,122.06666666666668,10.04444444444444,132.0,1.83,2.19,0.3599999999999999,1.9633333333333336,0.15111111111111117,1.83,2.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,1.3333333333333333,0.0,0.0,7.0,7.0,2.844444444444445,6.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,7.266666666666667,1.511111111111111,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,4.0,4.0,2.4,1.5999999999999999,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.4,0.48,4.0,10.245,22.5702380952,12.325238095200001,14.5474126984,5.348550264533334,10.73,1.625,0.5416666666666666,0.7222222222222223,0.0,0.0,2.1106628,2.1106628,1.2571907733333334,0.8381271822222223,2.1106628,2.0,229.0,227.0,144.0,94.66666666666667,229.0,2.0,1.0,4.266666666666667,0.0,False,0.031880743083437246,0.006427517989219925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39999999999999997,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,(Co0.4Mn0.6)2P,445.0,Co0.8 Mn1.2 P1,3,0.5849976258261415,0.493242414866094,0.43571290035642074,0.41697213349064854,0.4066359205074115,15.0,27.0,12.0,22.2,4.8,25.0,52.0,83.0,31.0,63.93333333333334,12.711111111111114,52.0,30.973762,58.933195,27.959432999999997,48.015324,11.361041333333333,54.938045,317.3,1768.0,1450.7,1184.8333333333333,578.3555555555556,1519.0,7.0,15.0,8.0,10.200000000000001,3.2000000000000006,7.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,4.0,107.0,139.0,32.0,124.86666666666667,11.911111111111106,139.0,1.55,2.19,0.6399999999999999,1.8513333333333335,0.24106666666666657,1.55,2.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,1.3333333333333333,0.0,0.0,7.0,7.0,2.5777777777777775,5.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,6.866666666666667,1.2444444444444442,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,5.0,5.0,2.8000000000000003,1.8666666666666665,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.8000000000000003,0.9600000000000001,5.0,10.245,22.5702380952,12.325238095200001,14.450447181160001,5.413193942693334,10.4875862069,1.625,0.5416666666666666,0.7222222222222223,0.0,0.0,1.5484712,1.5484712,0.41304970160919535,0.6055581324750958,0.000310120689655,2.0,217.0,215.0,139.20000000000002,91.46666666666665,217.0,2.0,1.0,3.866666666666667,0.0,False,0.09733158791905794,0.017952477075618818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39999999999999997,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,(Co0.5Mn0.5)2P,583.0,Co1 Mn1 P1,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.37204105801130144,15.0,27.0,12.0,22.333333333333332,4.888888888888889,15.0,52.0,83.0,31.0,64.33333333333333,12.444444444444443,52.0,30.973762,58.933195,27.959432999999997,48.28166733333333,11.538603555555556,30.973762,317.3,1768.0,1450.7,1201.4333333333334,589.4222222222222,317.3,7.0,15.0,8.0,10.333333333333334,3.111111111111111,7.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,3.0,107.0,139.0,32.0,124.0,11.333333333333334,107.0,1.55,2.19,0.6399999999999999,1.873333333333333,0.21555555555555558,1.55,2.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,1.3333333333333333,0.0,0.0,7.0,7.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,7.0,1.3333333333333333,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,5.0,5.0,2.6666666666666665,1.777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.6666666666666665,0.8888888888888888,3.0,10.245,22.5702380952,12.325238095200001,14.434274767366666,5.42397555188889,10.245,1.625,0.5416666666666666,0.7222222222222223,0.0,0.0,1.5484712,1.5484712,0.516260440229885,0.68814050651341,0.0,2.0,217.0,215.0,137.66666666666666,90.44444444444446,2.0,2.0,1.0,4.0,0.0,False,0.09733158791905794,0.016436447235272586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,(Co0.6Fe0.4)2P,407.0,Co1.2 Fe0.8 P1,3,0.5849976258261415,0.493242414866094,0.43571290035642074,0.41697213349064854,0.4066359205074115,15.0,27.0,12.0,22.733333333333334,5.155555555555555,27.0,55.0,83.0,28.0,65.53333333333333,11.644444444444444,58.0,30.973762,58.933195,27.959432999999997,48.78986533333333,11.877402222222221,58.933195,317.3,1811.0,1493.7,1295.9,652.4,1768.0,8.0,15.0,7.0,10.733333333333334,2.844444444444445,9.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,4.0,107.0,132.0,25.0,121.26666666666667,9.511111111111111,126.0,1.83,2.19,0.3599999999999999,1.97,0.14666666666666667,1.88,2.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,1.3333333333333333,0.0,0.0,7.0,7.0,2.9333333333333336,7.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,7.3999999999999995,1.6000000000000003,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,4.0,4.0,2.2666666666666666,1.511111111111111,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.266666666666667,0.39111111111111124,3.0,10.245,22.5702380952,12.325238095200001,14.482746031733333,5.391661375644444,10.245,1.625,0.5416666666666666,0.7222222222222223,0.0,0.0,2.1106628,2.1106628,1.1822318933333333,0.7881545955555556,1.5484712,2.0,229.0,227.0,139.33333333333334,91.55555555555554,194.0,2.0,1.0,4.4,0.0,False,0.031880743083437246,0.006065649277944842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,(Co0.7Fe0.3)2P,286.0,Co1.4 Fe0.6 P1,3,0.6073622386096199,0.5273639928976801,0.48402907465205314,0.4729116284762901,0.46826490614302213,15.0,27.0,12.0,22.8,5.2,27.0,55.0,83.0,28.0,65.73333333333333,11.511111111111111,58.0,30.973762,58.933195,27.959432999999997,48.99574499999999,12.014655333333335,58.933195,317.3,1811.0,1493.7,1293.0333333333333,650.4888888888889,1768.0,8.0,15.0,7.0,10.799999999999999,2.7999999999999994,9.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,4.0,107.0,132.0,25.0,120.86666666666666,9.244444444444447,126.0,1.83,2.19,0.3599999999999999,1.9733333333333334,0.14444444444444446,1.88,2.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,1.3333333333333333,0.0,0.0,7.0,7.0,2.977777777777778,7.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,7.466666666666666,1.6444444444444446,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,4.0,4.0,2.1999999999999997,1.4666666666666668,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.1999999999999997,0.31999999999999984,3.0,10.245,22.5702380952,12.325238095200001,14.450412698400001,5.413216931200001,10.245,1.625,0.5416666666666666,0.7222222222222222,0.0,0.0,2.1106628,2.1106628,1.1447524533333333,0.7631683022222223,1.5484712,2.0,229.0,227.0,137.0,90.0,194.0,2.0,1.0,4.466666666666666,0.0,False,0.031880743083437246,0.005876384192598184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.4666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,(Co0.7Mn0.3)2P,386.0,Co1.4 Mn0.6 P1,3,0.6073622386096199,0.5273639928976801,0.48402907465205314,0.4729116284762901,0.46826490614302213,15.0,27.0,12.0,22.599999999999998,5.066666666666667,27.0,52.0,83.0,31.0,65.13333333333333,11.91111111111111,58.0,30.973762,58.933195,27.959432999999997,48.81435399999999,11.893728000000003,58.933195,317.3,1768.0,1450.7,1234.6333333333334,611.5555555555555,1768.0,7.0,15.0,8.0,10.6,2.933333333333333,9.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,4.0,107.0,139.0,32.0,122.26666666666665,10.177777777777782,126.0,1.55,2.19,0.6399999999999999,1.917333333333333,0.18177777777777768,1.88,2.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,1.3333333333333333,0.0,0.0,7.0,7.0,2.8444444444444446,7.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,7.266666666666667,1.6177777777777778,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,5.0,5.0,2.4,1.6000000000000003,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.4,0.6399999999999999,3.0,10.245,22.5702380952,12.325238095200001,14.401929939779999,5.44553877028,10.245,1.625,0.5416666666666666,0.7222222222222222,0.0,0.0,1.5484712,1.5484712,0.7226819174712643,0.7707366636934867,1.5484712,2.0,217.0,215.0,134.6,88.39999999999999,194.0,2.0,1.0,4.266666666666667,0.0,False,0.09733158791905794,0.012688181151416181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.4666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,(Co0.8Fe0.2)2P,140.0,Co1.6 Fe0.4 P1,3,0.6429100507328637,0.5760081731807792,0.5432354416018381,0.5361318591786696,0.5338164737509878,15.0,27.0,12.0,22.866666666666664,5.244444444444446,27.0,55.0,83.0,28.0,65.93333333333334,11.37777777777778,58.0,30.973762,58.933195,27.959432999999997,49.20162466666667,12.151908444444443,58.933195,317.3,1811.0,1493.7,1290.1666666666667,648.5777777777778,1768.0,8.0,15.0,7.0,10.866666666666667,2.755555555555556,9.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,4.0,107.0,132.0,25.0,120.46666666666668,8.977777777777773,126.0,1.83,2.19,0.3599999999999999,1.9766666666666666,0.14222222222222222,1.88,2.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,1.3333333333333333,0.0,0.0,7.0,7.0,3.022222222222222,7.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,7.533333333333334,1.6888888888888889,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,4.0,4.0,2.1333333333333333,1.4222222222222223,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.1333333333333333,0.23111111111111107,3.0,10.245,22.5702380952,12.325238095200001,14.418079365066667,5.434772486755556,10.245,1.625,0.5416666666666666,0.7222222222222223,0.0,0.0,2.1106628,2.1106628,1.1072730133333335,0.7381820088888889,1.5484712,2.0,229.0,227.0,134.66666666666669,88.44444444444444,194.0,2.0,1.0,4.533333333333334,0.0,False,0.031880743083437246,0.005681565287445447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
