Name,Tc (K),Source,Page
(Ce0.05La0.95)3Al11,1.3,2,2
(Ce0.7La0.3)3Al11,3.7,2,2
(Ce0.9La0.1)3Al11,5.4,2,2
(Co0.38Fe0.62)2P,459.0,2,3
(Co0.4Fe0.6)2P,453.0,2,3
(Co0.4Mn0.6)2P,445.0,2,3
(Co0.5Mn0.5)2P,583.0,2,3
(Co0.5Mn0.5)2P,583.0,2,3
(Co0.6Fe0.4)2P,407.0,2,3
(Co0.7Fe0.3)2P,286.0,2,3
(Co0.7Mn0.3)2P,386.0,2,3
(Co0.8Fe0.2)2P,140.0,2,3
(Co0.8Mn0.2)2P,218.0,2,3
(Co0.8Mn0.2)2P,200.0,2,3
(Dy0.10Er0.90)Al2,16.3,4 V12,461
(Dy0.25Er0.75)Al2,24.0,4 V12,461
(Dy0.26Er0.74)Ni2,9.5,4 V12,467
(Dy0.40Er0.60)Al2,32.0,4 V12,461
(Dy0.50Er0.50)Al2,46.0,4 V12,461
(Dy0.50Er0.50)Al2,37.8,4 V12,461
(Dy0.55Er0.45)Al2,39.3,4 V12,461
(Dy0.70Er0.30)Al2,45.5,4 V12,461
(Dy0.85Er0.15)Al2,54.4,4 V12,461
(Fe0.50V0.50)2O3,455.0,2,13
(Fe0.5Cr0.5)3Se4,220.0,2,10
(Fe0.5Ni0.5)2P,60.0,2,11
(Fe0.77Al0.23)2O3,810.0,2,10
(Fe0.7Ni0.3)2P,270.0,2,11
(Fe0.8Cr0.2)3Se4,330.0,2,10
(Fe0.92Ni0.08)2P,342.0,2,11
(Fe0.97Cu0.03)2P,265.0,4 V6,231
(Fe0.9Ni0.1)2P,340.0,2,11
(Ga0.92Mn0.08)As,170.0,1,376
(Gd0.10Dy0.90)Ni2,28.0,4 V12,467
(Gd0.2Er0.8)NiAl,21.0,4 V12,468
(Gd0.2Er0.8)NiAl,11.0,4 V12,468
(Gd0.4Er0.6)NiAl,32.0,4 V12,468
(Gd0.4Er0.6)NiAl,9.0,4 V12,468
(Gd0.54Er0.46)NiAl,13.0,4 V12,468
(Gd0.54Er0.46)NiAl,37.0,4 V12,468
(Gd0.7Er0.3)NiAl,16.0,4 V12,468
(Gd0.7Er0.3)NiAl,47.0,4 V12,468
(Gd3)Fe2.5Al2.5O12,175.0,2,14
(Gd3)Fe3.5Al1.5O12,30.0,2,14
(Gd3)Fe3.5Al1.5O12,345.0,2,14
(Ho0.5Dy0.5)Al2.25,34.0,4 V12,462
(La0.70Cd0.30)MnO3,326.0,2,17
(La0.70Pb0.30)MnO3,361.0,2,17
(La0.7Ca0.3)MnO3,260.0,2,17
(La0.7Ca0.3)MnO3,250.0,2,17
(La0.7Sr0.3)MnO3,250.0,1,376
(La0.8Ca0.2)MnO3,200.0,2,17
(La0.9Ca0.1)MnO3,152.0,2,17
(Mn0.5Fe0.5)2O3,24.0,2,19
(Mn0.9Cr0.1)AlGe,573.4,4 V4,293
(Mn0.9Fe0.1)AlGe,431.2,4 V4,293
(Y3)(Fe5)O12,563.0,2,27
(Zr0.85Nb0.15)Fe2,490.0,2,29
Ag0.5In0.5Cr2Se4,50.0,2,1
Ag0.5La0.5Fe12O19,708.0,2,1
Ag51Pr14,13.0,3,NA
Ag99.5Eu0.5,6.5,2,1
AgCe,9.0,3,NA
AgCe,5.5,3,NA
AgCe,5.5,3,NA
AgCe,5.0,3,NA
AgCe,6.0,3,NA
AgCe,7.5,3,NA
AmFe2,613.0,4 V4,350
AmFe2,475.0,1,405
As3Mn4,126.15,7,NA
Au0.5Fe0.5,120.0,3,NA
Au0.5Fe0.5,178.0,3,NA
Au0.5Fe0.5,170.0,3,NA
Au2Mn,363.0,4 V4,277
Au2Mn1.4Al0.6,314.0,2,1
Au2MnAl,252.0,2,1
Au2MnAl,258.0,2,1
Au2MnAl,220.0,2,1
Au2MnAl,147.0,2,1
Au2MnIn,140.0,2,1
Au2MnZn,253.0,4 V4,291
Au4(Mn0.2Cr0.8),150.0,2,1
Au4(Mn0.2Cr0.8),45.0,2,1
Au4(Mn0.4Cr0.6),225.0,2,1
Au4(Mn0.4Cr0.6),180.0,2,1
Au4(Mn0.6Cr0.4),250.0,2,1
Au4(Mn0.8Cr0.2),340.0,2,1
Au4(Mn0.8Cr0.2),325.0,2,1
Au4(V0.5Mn0.5)Au4Cr,200.0,2,1
Au4Mn,360.0,4 V4,274
Au4Mn,371.0,4 V4,274
Au4Mn,363.0,2,1
Au4Mn,371.0,2,1
Au4Mn,360.0,2,1
Au4Mn,371.1,2,1
Au4V,53.0,4 V4,278
Au4V,57.0,3,NA
Au4V,57.0,2,1
Au4V,56.0,2,1
Au4V,53.0,2,1
Au4V,50.0,2,1
Au4V,43.0,2,1
Au4V,61.0,3,NA
Au4V,61.0,4 V4,278
Au4V,53.0,3,NA
Au4V0.93Fe0.07,75.0,4 V4,278
Au4V0.95Fe0.05,70.0,4 V4,278
Au4V0.97Fe0.03,59.0,4 V4,278
Au4V0.99Fe0.01,50.0,4 V4,278
Au4V0.9Mn0.1,150.0,4 V4,278
Au5Mn2,100.0,2,1
Au78Fe22,220.0,2,1
Au79.9Mn20.1,377.0,2,1
Au80Fe20,210.0,2,1
Au80V11Fe9,26.0,2,1
Au80V13Fe7,67.0,2,1
Au80V15Fe5,66.0,2,1
Au80V17Fe3,57.0,2,1
Au80V19Fe1,43.0,2,1
Au83Fe17,148.0,2,1
Au87Fe13,40.0,2,1
Au99.5Eu0.5,6.5,2,1
AuFe,300.0,2,1
AuIn2,35.0,3,NA
AuMnSb,72.0,4 V4,279
Ba0.4Sr1.6Zn2Fe12O12,400.0,2,1
Ba0.50Sr1.50FeMoO6,413.0,2,1
Ba0.60Sr1.40FeMoO6,410.0,2,1
Ba0.6Sr1.4Zn2Fe12O12,323.0,2,1
Ba0.84Sr1.16FeMoO6,399.0,2,1
Ba1.0Sr1.0Zn2Fe12O12,333.0,2,1
Ba1.42Sr0.58FeMoO6,372.0,2,1
Ba1.6Sr0.4Zn2Fe12O12,358.0,2,1
Ba2Co2Fe28O46,740.0,2,1
Ba2FeMoO6,355.0,2,1
Ba2FeMoO6,334.0,2,1
Ba2FeMoO6,367.0,1,416
Ba2Zn2Al2.5Fe9.5O22,370.0,2,1
Ba2Zn2Fe12O22,400.0,2,1
Ba2Zn2Fe12O22,373.0,2,1
Ba2Zn2Fe28O46,705.0,2,1
Ba3FeU2O9,123.0,2,1
Ba4Zn2Fe36O60,673.0,2,1
Ba5Ti3Mg2Fe12O31,391.0,2,1
Ba5Ti3Zn2Fe12O31,310.0,2,1
BaAl2Fe10O19,618.0,2,1
BaAl4Fe8O19,514.0,2,1
BaAl6Fe6O19,414.0,2,1
BaAl8Fe4O19,314.0,2,1
BaFe0.5Re0.5O3,316.0,2,1
BaFe10.2Sc1.8O19,600.0,2,1
BaFe10.8Sc1.2O19,500.0,2,1
BaFe12O19,718.0,2,1
BaFe12O19,740.0,1,377
BaFe12O19,738.0,2,1
BaFe12O19,740.0,2,1
BaFe12O19,740.0,1,376
BaFe12O19F2,710.0,2,1
BaFeO2.95,190.0,2,1
BaFeO3,180.0,2,1
BaMn0.5Re0.5O3,136.0,2,1
BaVO3,77.0,2,1
BaZn0.5Ir0.5Fe11O19,563.0,2,1
Bi0.15Ca0.85MnO3,126.0,2,1
Bi0.1Ca0.9MnO3,114.0,2,1
Bi0.8Ca0.2MnO3,90.0,2,1
BiMnO3,103.0,2,2
BiMnO3,110.0,2,2
BkN,87.0,3,NA
Ca0.86La0.14Fe12O19,718.0,2,2
Ca2(FeMo)O6,400.0,2,2
Ca2FeMoO6,345.0,1,416
Ca2FeReO6,539.0,1,416
Ca3Fe2(Fe1.5V1.5)O12,493.0,2,2
Ca3Fe3.3V1.3Ge0.4O12,424.0,2,2
Ca3Fe3VGeO12,319.0,2,2
Ca3Sb1.5Fe3.5O12,55.0,2,2
CaFe0.5Re0.5O3,538.0,2,2
CaO2Fe2O3,403.0,2,2
Cd0.15Gd0.85,85.0,3,NA
Cd0.4Mn2.6O4,24.5,2,2
Cd0.6Mn2.4O4,15.0,2,2
Cd0.8Mn2.2O4,5.0,2,2
CdCr2S4,86.0,2,2
CdCr2S4,85.0,2,2
CdCr2S4,84.5,2,2
CdCr2S4,84.0,2,2
CdCr2S4,84.0,2,2
CdCr2S4,80.0,2,2
CdCr2S4,97.0,2,2
CdCr2Se4,129.0,2,2
CdCr2Se4,127.67,2,2
CdCr2Se4,129.0,2,2
CdCr2Se4,121.0,2,2
CdCr2Se4,128.0,2,2
CdCr2Se4,130.0,2,2
